date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
12/8/2013,6990,2203,2425,2476,1866,2350,2446,35,2302,2494,2490,2488,2480,2372,1932,2426,2226,2455,2310,42,,,,,,,,,1611240186,2486,686.656074,,,,,,0,1.89347317,0.494418205,0.002487187,0.91011702,,1,,4245.6959,,6.11001E-05,1240744202,36500,100,,1240744202,,0.982666118,6.75856011,,6.75856011,,,,,,,1240748448,,2.01911E-05,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,153666953.5,12.385063,1240113678,1240744075,1240744201,1219237289,1240739934,1240744177,228069528.8,1240713937,1240744202,1240744202,1240744202,1240744186,1240744088,1240742169,1226590028,1240362663,1240722791,235652817.9,,,,,,,,,292691727.9,430927529,211383025.3,1240744202,1.42833E+11,1240744202,4665,0.05399306,9314,183581144.9,,99231.98706,,17905.62153,,0.744913195,,
12/9/2013,10863,2902,3763,3961,2133,3536,3862,72,3309,4017,4000,3999,3978,3639,2472,3809,3089,3898,3403,144,,,,,,,,,1611240186,1526,1808.066841,,,,,,0,2.98049889,2.376903574,0.002769681,0.81827322,,1,,7641.853601,,0.000180307,761942868,13886.79986,38.046027,,761942868,,0.962110196,3.05632794,,3.05632794,,,,,,,761950509.9,,3.31331E-05,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,634486176.1,31.681743,1998915094,2002686056,2002687067,1926805649,2002667101,2002686976,683098230.8,2002475045,2002687070,2002687070,2002687069,2002687022,2002686683,2002680117,1975890992,2001373797,2002598921,783021595.6,,,,,,,,,731878214.3,1025163730,602680641.4,2002687070,1.42848E+11,2002687070,9339,0.10809028,18696,655259222.1,,129690.2228,,27823.36316,,1.672220879,,
12/10/2013,12132,3517,5254,5960,2219,4863,5647,107,4358,6085,6061,6056,6007,5085,2965,5502,4014,5863,4620,265,,,,,,,,,1611240187,1417,2097.187721,,,,,,0,2.56844548,3.361733389,0.001843599,0.579751376,,1,,5478.650505,,0.000236799,710930177,9562.495205,26.198617,,710930177,,0.935678615,3.41312851,,3.41312851,,,,,,,710935655.7,,5.18408E-05,1172252382,1172252382,1056036928,1172252382,1172252382,1172252382,1172252382,1172252382,1172252382,1172252382,1172252382,1172252382,43.198885,2703375921,2713611728,2713617237,2539073628,2713568492,2713616900,1104640701,2713009370,2713617247,2713617247,2713617245,2713617165,2713616029,2713602104,2671114562,2711007305,2713437292,1347821015,,,,,,,,,1084175563,1665373303,940485665.3,2713617247,1.42862E+11,2713617247,9450,0.109375,18999,795052760.4,,129582.3878,,20703.72897,,2.141374553,,
12/11/2013,43044,4452,7461,17022,2458,6710,13519,134,5773,17325,17282,17270,17110,7166,3772,10175,5274,16833,6368,426,,,,,,,,,1611240187,1575,5353.509841,,,,,,0,6.18745865,5.092980515,0.000339571,0.098897799,,0.0001,,2863.19017,,0.000398748,770966106,8075.646535,22.125059,,770966106,,0.903041423,2.32270357,,2.32270357,,,,,,,770968969.2,,0.000120923,2014650108,2014650108,1562208077,2014650108,2014650108,2014650108,2014650108,2014650108,2014650108,2014650108,2014650108,2014650108,57.816097,3464821049,3484514255,3484583328,3146723110,3484410726,3484576754,1308957295,3483066538,3484583353,3484583353,3484583345,3484583183,3484555114,3484495802,3422629181,3479918814,3484198629,1818966667,,,,,,,,,1175788257,2821371734,1427577508,3484583353,1.42878E+11,3484583353,28951,0.33508102,56999,1500227319,,76269.77196,,1752.573069,,2.915175395,,
12/12/2013,61432,5169,9713,25515,2501,8544,16005,139,7117,26164,26100,26079,25732,9259,4354,12805,6426,25234,8091,578,,,,,,,,,1611240187,1460,9280.673973,,,,,,0,6.96423479,7.277435615,7.04107E-05,0.021665208,,0.0001,,954.0491131,,0.000528174,698818257,6097.15929,16.704546,,698818257,,0.875548823,3.12941679,,3.12941679,,,,,,,698819211,,0.000142797,2683424420,2683424420,1752706996,2683424420,2683424420,2683424420,2683424420,2683424420,2683424420,2683424420,2683424420,2683424420,64.144557,4150002190,4183309426,4183401542,3662772355,4183133081,4183380674,1513699415,4180751118,4183401610,4183401610,4183401593,4183401321,4183358553,4183280122,4095803645,4176122107,4182836369,2331946450,,,,,,,,,1333890058,3709366081,1880492945,4183401610,1.42893E+11,4183401610,44036,0.50967593,84256,1336799121,,64637.40539,,833.6768943,,3.730041324,,
12/13/2013,64759,6057,12869,32242,2530,11026,20914,144,8841,33461,33369,33327,32642,12332,5163,16940,7910,31856,10513,772,,,,,,,,,1611240187,1590,9368.855346,,,,,,0,12.56970407,9.754230778,0.0001378,0.040522169,,0.0001,,2052.731514,,0.000770968,787422756,5781.924485,15.840889,,787422756,,0.840923242,2.55321802,,2.55321802,,,,,,,787424808.7,,0.000200516,3495302704,3495302704,1928401033,3495302704,3495302704,3495302704,3495302704,3495302704,3495302704,3495302704,3495302704,3495302704,70.316359,4918188810,4970695654,4970824235,4180081741,4970366410,4970798159,1665623521,4966230532,4970824366,4970824366,4970824336,4970823930,4970771005,4970657834,4855073112,4959893083,4970007940,2899159350,,,,,,,,,1416945082,4509919117,2283884824,4970824366,1.42909E+11,4970824366,50657,0.58630787,99546,1946885983,,92225.5363,,2162.010677,,4.986083251,,
12/14/2013,98292,6543,16354,38906,2396,13352,24815,141,10065,41735,41615,41539,39703,15515,5786,21275,9319,38459,12822,953,,,,,,,,,1611240187,1555,15757.10032,,,,,,0,23.13386982,17.83852465,7.03793E-05,0.021442024,,0.0001,,1724.453336,,0.001378908,776751325,4932.762205,13.514417,,776751325,,0.811060025,2.68678528,,2.68678528,,,,,,,776753049.5,,0.000273648,4322025911,4322025911,2297341819,4322025911,4322025911,4322025911,4322025911,4322025911,4322025911,4322025911,4322025911,4322025911,75.197373,5659935961,5747407049,5747575382,4661628883,5746807463,5747538617,1868559679,5738953887,5747575691,5747575691,5747575616,5747575009,5747512489,5747343949,5601435504,5733122230,5746394793,3547467636,,,,,,,,,1599620412,5354341595,2807363379,5747575691,1.42924E+11,5747575691,80424,0.93083333,159352,2139201721,,69981.14682,,619.6235808,,6.252476132,,
12/15/2013,157712,7260,21536,43969,2059,17214,31075,132,12633,49615,49388,49228,45503,20693,6486,28273,11776,43340,16547,1129,,,,,,,,,1611240187,1670,24384.85629,,,,,,0,65.5035276,36.86330359,0.009800387,3.094865155,,0.0001,,399098.336,,0.00306025,834560247,4627.897415,12.679171,,834560247,,0.772074755,1.9177214,,1.9177214,,,,,,,834959345.3,,0.000357255,5443683474,5443683474,2878427467,5443683474,5443683474,5443683474,5443683474,5443683474,5443683474,5443683474,5443683474,5443683474,82.703905,6433583406,6581914043,6582135299,5081900994,6580896454,6582096989,2182951591,6568759105,6582135938,6582135937,6582135794,6582134755,6582074475,6581846230,6370063803,6561689518,6580345995,4319391310,,,,,,,,,1948807089,6171239374,3469469000,6582135938,1.42941E+11,6582135938,128955,1.49253472,253732,3432269124,,106827.8907,,369.0594425,,9.577777606,,
12/16/2013,127087,7971,27783,53452,1978,21577,38046,122,14996,61307,60970,60745,56149,27027,7251,35917,14120,52749,20770,1270,,,,,,,,,1611240188,1545,19657.07314,,,,,,0,101.6656062,81.52449647,0.128100114,41.08415822,,0.0001,,3890423.279,,0.006261274,791014644,3915.834245,10.728313,,791014644,,0.746061492,3.33711792,,3.33711792,,,,,,,794905067.3,,0.000497543,6275480890,6275480890,3136242821,6275480890,6275480890,6275480890,6275480890,6275480890,6275480890,6211221997,6275480890,6275480890,85.11261,7161613732,7372870601,7373149421,5500823727,7371141536,7373101505,2364344211,7352771799,7373150582,7373150581,7373150406,7373148776,7373083331,7372804488,7099285578,7345134978,7370427650,4889413558,,,,,,,,,2191349480,6973244367,4037932535,7373150582,1.42956E+11,7373150582,94694,1.09599537,184142,2209436635,,389861.3163,,200,,18.28690126,,
12/17/2013,131166,8378,33460,66482,1881,24833,46328,106,16737,82715,75842,75554,70238,32539,7772,44732,16043,65712,23997,1347,,,,,,,,,1611240188,1444,18515.25277,,,,,,0,101.6699189,107.799271,1.40071E-05,0.004047352,,0.0001,,374.4934019,,0.007738007,707277501,3194.834415,8.752971,,707277501,,0.731249021,2.98305356,,2.98305356,,,,,,,707277875.5,,0.000611122,7032982568,7032982568,3079358889,7032982568,7032982568,7032982568,7032982568,7032982568,7032982568,6740128856,7032982568,7032982568,87.037252,7810012454,8080032132,8080426435,5908805128,8077476309,8080359771,2676571751,8053320036,8080428083,8080428081,8080427884,8080425712,8080345227,8079946680,7755235913,8046997278,8076706666,5427662505,,,,,,,,,2626368254,7801186773,4830089560,8080428083,1.42971E+11,8080428083,92528,1.07092593,183302,2708777406,,67876.47966,,119.8897142,,18.226011,,
